epoch,train_loss,val_loss,val_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
1,1.2927562747458448,1.3116576734882175,0.61732008614487,0.630709991058605,0.5972513856615015,0.7173705250770389,0.790679107969857,0.6707007430518199,0.5698515760391888,0.6254125890069803,0.5457825751445953,0.6291354999024923,0.5675671319259337,0.5397768489161987,0.5337371939791742,0.6096737012987012,0.6148323369960939
2,1.255338914989576,1.2638690896663638,0.6666693969407848,0.6376300361213045,0.6423718296703854,0.7279510521479496,0.807340328540769,0.7199668233986568,0.6731666671426035,0.6533955442642174,0.6887886211753423,0.6439068288889199,0.5832540390585114,0.5663681615530123,0.616547536005334,0.6484545454545454,0.7242295437494354
3,1.2140398582077434,1.2388119842947982,0.6872096123003631,0.6571183588815026,0.6612281207020008,0.7436266926170529,0.81413423214084,0.737690677509153,0.7307271719230439,0.6828658117987804,0.680213109472864,0.649125967369114,0.6196606015233611,0.5751966880710478,0.6596888385565931,0.657434446505875,0.7522238551338558
4,1.1767482094020925,1.1827350681703779,0.7138056327972617,0.6812148869680145,0.6824524730496975,0.7540356442390826,0.8275752973164867,0.7677987220046012,0.7735959362947168,0.6931653788527934,0.7317307980460906,0.6507246196801799,0.6765407457230148,0.612805953025364,0.6899383265959026,0.6757692486085343,0.7759308287571869
5,1.1502429648936643,1.178501522181879,0.7270062521942007,0.6966266405837822,0.7160061670223015,0.7595443369928049,0.8433258096529022,0.7818474271189102,0.7895764706472821,0.7112266552417033,0.7332301312595523,0.6613623450633025,0.6803681581640896,0.6260120671040735,0.7061310619367382,0.6849185219542362,0.7879117379771312
6,1.1298060205969376,1.1640292854613519,0.7475238210619848,0.7001662726360992,0.7600529137261857,0.7662508308414864,0.8465686571138112,0.7857987633944978,0.8126779733705499,0.7363506135906958,0.8364621729749168,0.6658045474669607,0.6940278708790775,0.6471012070821833,0.7200736915237239,0.6913365800865799,0.8026614001810182
7,1.1099605416173268,1.1381643137853148,0.750763510172292,0.7023077388620037,0.8015044378194665,0.7677863879995623,0.8611407956947604,0.7894963534132071,0.8050083795186859,0.7284663865546218,0.8369173109772544,0.6702309691739348,0.6861978422963457,0.6470902211025983,0.7194423900650211,0.695680426716141,0.7994195022184865
8,1.0900679720178288,1.1095105903263243,0.7607208704715821,0.7170015011049917,0.8362049865300742,0.7713675482122087,0.85456715641187,0.8007216465369108,0.8164684216278549,0.7406726196739877,0.830739234019599,0.6703009260150371,0.7051482249587483,0.6566767616232035,0.7389547107387081,0.6992925170068027,0.8119759321421527
9,1.071927625675317,1.126117880323867,0.7598633044922034,0.7220150004932102,0.8283628829642318,0.7718086683217723,0.8602630665956658,0.8041457378337364,0.8138530183876936,0.740475689381298,0.8287547948694897,0.6725465801835308,0.6982186338946977,0.6573930995407823,0.7369124007944845,0.6999433364254792,0.8033933532047772
10,1.0575407114081572,1.2153490414492882,0.7427054072494071,0.7043693192428975,0.8201182642159823,0.7536273119145096,0.8548404697358442,0.7762820039289449,0.792996207301859,0.7312775915375094,0.7788137005903684,0.6585076686741528,0.6906154503032951,0.644698214583135,0.7215831701502404,0.6828257575757575,0.7873205717372028
