epoch,train_loss,val_loss,val_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
1,1.2577585371641011,1.2206675067351573,0.6636033853108568,0.6505994912163804,0.6409564199678586,0.7150696896856623,0.7939679446838037,0.6875600919887475,0.6546182367090501,0.6858577241272178,0.8989930774071743,0.621253005022232,0.5398331526399168,0.5536578478930714,0.5869217855732138,0.6290071892393322,0.6321517381983348
2,1.2223800835531322,1.2324800770115134,0.671879896418378,0.6620425999642832,0.6835367333922175,0.730610163681254,0.8012429200755191,0.7099800723323165,0.6380083839319192,0.6779853354579756,0.8821501618268452,0.6350182190255809,0.545815154489367,0.5479483543708956,0.6011869644022737,0.6479420222634509,0.6428514646433923
3,1.2065874123760099,1.197018390363737,0.6930478760376874,0.66678486192674,0.6978437145223775,0.7447375605089828,0.8220407529328235,0.7380629881604459,0.6952264304565715,0.6905814204035818,0.8882692394138272,0.638511802371649,0.5740632033333556,0.5649534424966689,0.6193616389465516,0.6622080241187384,0.7000251849353072
4,1.1875236267462754,1.1746833315880774,0.7138592811641623,0.6739049204830758,0.7049434567693318,0.7531621490715489,0.8111446281325138,0.7629824440368815,0.7306209081863142,0.7059968531240761,0.892662351284126,0.6506814088732369,0.6270511973245694,0.5958337113055582,0.6707483800751342,0.670485003092146,0.7438125245397584
5,1.1668583074865857,1.1539713881877778,0.7276371002628581,0.686694550657517,0.7297839511702503,0.7559598019292618,0.8308115892917654,0.773291911293158,0.7562079266344085,0.7206605182323378,0.8887505993586862,0.658343678195902,0.6443391815744575,0.5974891552952794,0.6886319163718164,0.6947691713048856,0.7611854523702871
6,1.1395869965312149,1.1355417964704753,0.7385275170621679,0.6982847427464882,0.7917090307924115,0.7548859095935089,0.8361493682528925,0.7785550751404207,0.7596406866541139,0.7224586972534989,0.9060804938715574,0.6647737386780207,0.66441003570301,0.6132267290556296,0.7022614865489508,0.6880056431663575,0.7589436014134902
7,1.119507084035466,1.1122916944143248,0.7540678707120954,0.7154075850701916,0.8330227128448329,0.7718313561880207,0.8444378217230639,0.7993370890200046,0.7896758549320002,0.729058743354229,0.8867689697024184,0.6665258520607101,0.6897918834082446,0.6324894638693251,0.7092156075873836,0.6978361162646877,0.7915511339442236
8,1.0949531496632472,1.0949495290666604,0.7665866867971376,0.7318191918620246,0.8630625358695372,0.7758433641538511,0.8584240007422828,0.8129857347915991,0.8137410434077846,0.7429541673556722,0.8667485165872517,0.670292515902992,0.7056943567939264,0.6414744337108593,0.7356975621986717,0.704880179344465,0.8085960124390077
9,1.0790705975474115,1.0825825976675518,0.7720907707454329,0.742642150505744,0.862698353689016,0.7750112293852652,0.8600174880185895,0.8170295237147935,0.8201163484076405,0.7493627325706669,0.9112555815277653,0.6746734867891291,0.701274295935169,0.6525130195940803,0.7323604679502802,0.7011347402597402,0.8091813720881791
10,1.0617121408170784,1.0895007269155004,0.7767195344759423,0.7417457327503476,0.8783886448317112,0.774902864647343,0.8642163269916573,0.8191472935263721,0.8280512554653785,0.7502634506396477,0.8935258023914412,0.6777840277593252,0.7189249737457254,0.6637323815373085,0.7387685559486892,0.7023133889919604,0.8223087834362851
11,1.046447676067848,1.085339055213559,0.7814062277746057,0.7421122512178502,0.88584499223934,0.7817071306362413,0.8697702352713368,0.8209079316276211,0.8416362261731911,0.7545559547611531,0.8886869174982769,0.6806822234603255,0.7295996972129647,0.6714573097101931,0.7507826485246288,0.7015085034013606,0.8204351671099953
12,1.0325759301370705,1.0792596730987516,0.7792781009406855,0.7437195435920805,0.8822182124981561,0.780469422545275,0.8642932278807828,0.8178802884744834,0.8313385518519875,0.7548791609667124,0.906521584404687,0.6800784055833272,0.7226552138343645,0.6691916698391549,0.742199568020036,0.6978430735930736,0.8166054900854767
13,1.0192342269369679,1.0738724096006096,0.7772966815337272,0.7461396008468734,0.8770694968739381,0.7799971404912984,0.8713155649416664,0.8274344893277461,0.8369325847451138,0.7635724057064686,0.8552754802361473,0.6749896305464606,0.7311392778313707,0.669588243254497,0.7453370256134424,0.6828304730983303,0.8205321279588267
14,1.005276560305785,1.061910719149766,0.7883670203627454,0.7620207444241925,0.8979119375611762,0.785585277727812,0.8730868067321813,0.8349830659567843,0.8370285509373231,0.7639142776967673,0.8953791318289429,0.6830867643628383,0.7371967267743843,0.6782837483344438,0.754699673073529,0.7107897340754484,0.8231718455926134
15,0.989973754285068,1.0525445137253109,0.7883304819689112,0.7593356078223299,0.899573395120011,0.7820860746606686,0.8753033677042489,0.8349868160480812,0.8580392627200418,0.7670151781642889,0.8792685576433217,0.6828634805826811,0.7385979183697926,0.682257234016608,0.7408900061911525,0.7061594001236859,0.8302504483978419
16,0.9814597811029847,1.063066650924929,0.7881392202924689,0.7632462697551108,0.887669896940586,0.7822833679514206,0.878793911668361,0.8414548604189234,0.8478377709260166,0.7618266537384185,0.8806498921154364,0.6853878488152654,0.7444206600554134,0.6870387933342058,0.7444764974324927,0.7060395794681509,0.8228230814747634
17,0.9679126561409728,1.0896372398738368,0.7876921270175673,0.7623724654571824,0.8921286931813092,0.7823105391962327,0.879773099514289,0.8377618340033794,0.8538401144394678,0.7557422969187675,0.8492416239623604,0.6840814914908511,0.7435490216450156,0.6912378169018274,0.7594290062499827,0.7080252009894866,0.8281965742957894
18,0.9562799723399671,1.0628437103978872,0.7967326114650223,0.7624036167636796,0.8896985226976161,0.7904486349417872,0.8776885559374547,0.8457001423427513,0.8587770514980201,0.7804358773921017,0.8907818634061552,0.6902509256857416,0.7556528378969809,0.69852746978205,0.764820596647813,0.717393784786642,0.8316766807315198
19,0.9426479702364345,1.0824348562459865,0.7954654497413773,0.767135479919261,0.891999174664715,0.7880538210382096,0.8789465032031112,0.8452243470292422,0.8670195868815513,0.7725230879471646,0.8697012946147622,0.6902902935945971,0.7560740275931813,0.691589888734891,0.7625095598678847,0.7173440785405072,0.8381051527502041
20,0.9289902257825914,1.084382029097939,0.7963630824040024,0.7645242853758331,0.884416406733828,0.7874594038692937,0.8813654774007196,0.8469580102674326,0.8623560106897167,0.7834143854321693,0.876877678384129,0.6877040902479332,0.7643609436261068,0.7003323305296469,0.762536943811789,0.7130757575757575,0.8337014297116798
21,0.9203504993450268,1.1504601813542792,0.7956549940179874,0.76449789361001,0.8933989450996762,0.7902304027951057,0.8779278311629636,0.84696368500876,0.8678998971370488,0.7719082445142638,0.8798014249752765,0.6899809503584888,0.7531246484975757,0.6962438731321976,0.7649252999627411,0.7089201453308596,0.8333466746668582
22,0.9103965660360803,1.0503491507669434,0.796750524901044,0.7708519593596581,0.9016585685867358,0.7856180408788545,0.8754548498491229,0.8471553464208346,0.8569935860143078,0.7735463237173226,0.8893040696454794,0.6888123807150686,0.7503180823184075,0.6962116215677643,0.7636583548342816,0.7150438311688312,0.8398803335379466
23,0.8968388031733002,1.097828466311589,0.7979014252414569,0.7655845576499815,0.8984521081583378,0.7895495697360714,0.8760888157363929,0.847940841734381,0.8632709345402402,0.7678032751562164,0.8823065569840272,0.6894172515327295,0.7604218826268362,0.7011064981976303,0.7643176005221859,0.7219208410636981,0.8424392197416712
24,0.8844417236809038,1.1827642700208654,0.79503059057341,0.7683034396207941,0.9020103587939117,0.7859517323405262,0.8755343225056881,0.8456647545764655,0.8613465484577784,0.7659410812625587,0.8723206793730707,0.6881010891175579,0.758442540719968,0.6990956363912153,0.758812727440813,0.7168955627705628,0.8320077946568305
25,0.8761057445190401,1.1493358359147008,0.7985219083864029,0.7715527622490558,0.9009640582010676,0.7924618936224335,0.8760921439060204,0.854073322380289,0.8684709349209897,0.7535660418013359,0.8811481090233451,0.6885932483379064,0.7665506613764494,0.7089575513645665,0.7580368723754136,0.7142333024118739,0.8446058154388953
